Card Name,Bayes Smoothed Winrate %,Raw Post-Acquisition Winrate %,Combined Post-Acquisition Record,Total Post Matches Tracked,Pools Opened In
Lamplight Phoenix (Copy 1),58.39,75.51,37-12,49,4
Raucous Entertainer (Copy 1),57.53,63.87,76-43,119,11
Nezumi Linkbreaker (Copy 1),57.41,61.96,101-62,163,11
Arid Archway (Copy 1),57.23,67.12,49-24,73,5
Throw from the Saddle (Copy 1),57.19,60.26,141-93,234,16
"Shuri, Wakandan Inventor (Copy 2)",56.77,69.09,38-17,55,5
Warleader's Call (Copy 1),56.67,70.0,35-15,50,4
Caught in the Crossfire (Copy 1),55.93,60.29,82-54,136,8
Assassin's Trophy (Copy 1),55.92,67.31,35-17,52,4
Case of the Locked Hothouse (Copy 1),55.88,64.29,45-25,70,4
Ornery Tumblewagg (Copy 1),55.73,74.19,23-8,31,2
"Legolas, Master Archer (Copy 1)",55.7,65.52,38-20,58,4
Concealed Courtyard (Copy 1),55.63,69.05,29-13,42,2
Crowd of True Believers (Copy 4),55.63,66.67,34-17,51,4
Donatello's Technique (Copy 1),55.61,60.95,64-41,105,9
Bristling Backwoods (Copy 1),55.6,58.76,104-73,177,11
Dream Beavers (Copy 1),55.56,62.5,50-30,80,6
Desert's Due (Copy 1),55.52,57.87,136-99,235,17
Zoo Escapees (Copy 1),55.39,58.58,99-70,169,17
"Attuma, Atlantean Warlord (Copy 2)",55.38,61.63,53-33,86,9
Bounding Felidar (Copy 1),55.38,73.33,22-8,30,4
Case of the Gateway Express (Copy 1),55.28,63.93,39-22,61,5
Cornered Crook (Copy 1),55.19,64.81,35-19,54,7
Ravenous Robots (Copy 1),55.17,66.67,30-15,45,2
"Hulk, Gamma Goliath (Copy 2)",55.1,60.42,58-38,96,7
Tinybones Joins Up (Copy 1),55.03,62.32,43-26,69,5
Fling (Copy 1),55.0,61.25,49-31,80,6
Holy Cow (Copy 1),54.94,57.14,128-96,224,18
Super Strength (Copy 3),54.93,66.67,28-14,42,4
