Card Name,Weighted Winrate %,Weighted Record,Total Weighted Matches,Pools Opened In
M.O.D.O.K.,57.72,86-63,149,6
Scientist Supreme of A.I.M.,56.53,329-253,582,24
The Super Hero Civil War,56.09,152-119,271,13
Doctor Doom,55.84,86-68,154,7
"Captain America, Super-Soldier",55.56,110-88,198,8
Absorbing Man,55.4,154-124,278,13
"Mole Man, Moloid Master",55.37,196-158,354,15
"Hulk, Gamma Goliath",55.24,432-350,782,29
"Yellowjacket, Heartless Marauder",55.16,502-408,910,30
Jennifer Walters // The Sensational She-Hulk,55.15,107-87,194,11
"Wolverine, Fierce Fighter",54.82,182-150,332,13
S.H.I.E.L.D. Flying Car,54.78,189-156,345,11
"Leader, Super-Genius",54.77,155-128,283,13
The Unbeatable Squirrel Girl,54.74,208-172,380,13
"Monica Rambeau // Photon, Living Light",54.63,171-142,313,15
"Spider-Woman, Secret Agent",54.2,413-349,762,26
Earth's Mightiest Heroes,53.94,89-76,165,7
Avengers Disassembled,53.89,208-178,386,13
"Colleen Wing, Street Samurai",53.55,505-438,943,36
"Grim Reaper, Lethal Legionnaire",53.46,409-356,765,29
"The Sentry, Golden Guardian",53.42,164-143,307,12
"Justice, Vance Astrovik",53.37,499-436,935,34
"Viv Vision, Teen Synthezoid",53.33,368-322,690,28
Super Strength,52.99,885-785,1670,57
"Attuma, Atlantean Warlord",52.97,481-427,908,32
Agents of S.H.I.E.L.D.,52.9,867-772,1639,59
Restorative Technique,52.69,920-826,1746,67
"Thor, God of Thunder",52.57,184-166,350,17
Atlantis Attacks,52.54,1035-935,1970,65
H.E.R.B.I.E. Scout Unit,52.53,1099-993,2092,68
Hero in Training,52.49,1002-907,1909,66
The Ruinous Wrecking Crew,52.48,212-192,404,14
Stark Industries,52.43,636-577,1213,40
"War Machine, Legacy of Iron",52.36,522-475,997,40
Stark Industries Executive,52.3,874-797,1671,61
Asgardian Citadel,52.29,479-437,916,34
The Vision,52.29,137-125,262,9
Cruel Alliance,52.22,860-787,1647,65
"Moonstone, Harsh Mistress",52.16,363-333,696,30
"Hawkeye, Young Avenger",52.14,450-413,863,33
"Loki, God of Mischief",52.11,148-136,284,10
"White Widow, Free Agent",52.1,360-331,691,24
