Card Name,Weighted Winrate %,Weighted Record,Total Weighted Matches,Pools Opened In
Improvisation Capstone,54.59,214-178,392,22
Together As One,54.48,480-401,881,50
Mind Into Matter,54.27,527-444,971,55
Stormcarved Coast,54.25,345-291,636,34
Emeritus Of Ideation // Ancestral Recall,53.67,161-139,300,19
Emeritus Of Truce // Swords To Plowshares,53.56,218-189,407,26
Vastlands Scavenger // Bind To Life,53.42,328-286,614,32
Slumbering Trudge,53.29,421-369,790,46
Environmental Scientist,52.92,752-669,1421,79
Petrified Hamlet,52.85,501-447,948,48
Paradox Surveyor,52.67,760-683,1443,65
Moment Of Reckoning,52.42,358-325,683,46
"Arnyn, Deathbloom Botanist",52.34,818-745,1563,83
Chelonian Tackle,52.3,796-726,1522,85
Vibrant Outburst,52.29,777-709,1486,81
Mind Roots,52.19,678-621,1299,81
Stirring Honormancer,52.13,733-673,1406,79
"Sanar, Unfinished Genius // Wild Idea",52.08,777-715,1492,81
Elite Interceptor // Rejoinder,51.87,2454-2277,4731,167
Practiced Offense,51.87,375-348,723,44
Blazing Firesinger // Seething Song,51.83,834-775,1609,81
Thunderdrum Soloist,51.7,730-682,1412,78
Emeritus Of Woe // Demonic Tutor,51.69,138-129,267,18
Skycoach Conductor // All Aboard,51.63,285-267,552,39
Living History,51.62,655-614,1269,75
Echocasting Symposium,51.61,176-165,341,21
Colossus Of The Blood Age,51.51,817-769,1586,89
Campus Composer // Aqueous Aria,51.46,742-700,1442,79
"Nita, Forum Conciliator",51.41,382-361,743,48
Great Hall Of The Biblioplex,51.4,350-331,681,52
Charging Strifeknight,51.38,744-704,1448,80
Diary Of Dreams,51.29,798-758,1556,82
Mana Sculpt,51.26,204-194,398,24
Colorstorm Stallion,51.24,330-314,644,41
Biblioplex Tomekeeper,51.24,1510-1437,2947,148
Silverquill Charm,51.17,697-665,1362,70
Expressive Firedancer,51.15,2633-2515,5148,176
Encouraging Aviator // Jump,51.15,709-677,1386,75
Honorbound Page // Forum'S Favor,51.13,2461-2352,4813,167
"Silverquill, The Disputant",51.12,160-153,313,21
Primary Research,51.11,691-661,1352,76
Quandrix Charm,51.04,812-779,1591,87
Pigment Wrangler // Striking Palette,50.98,676-650,1326,75
Pensive Professor,50.98,493-474,967,52
Ascendant Dustspeaker,50.94,2340-2254,4594,172
Strife Scholar // Awaken The Ages,50.92,2444-2356,4800,172
Harsh Annotation,50.88,752-726,1478,75
Informed Inkwright,50.87,440-425,865,48
"Berta, Wise Extrapolator",50.85,328-317,645,38
Muse'S Encouragement,50.78,2290-2220,4510,166
Poisoner'S Apprentice,50.78,779-755,1534,86
Send In The Pest,50.76,2395-2323,4718,172
Old-Growth Educator,50.74,717-696,1413,86
Bogwater Lumaret,50.74,3051-2962,6013,178
Fractal Tender,50.73,699-679,1378,69
Studious First-Year // Rampant Growth,50.69,2627-2555,5182,183
Cauldron Of Essence,50.69,402-391,793,45
Tenured Concocter,50.67,2412-2348,4760,170
Daydream,50.66,689-671,1360,79
Unsubtle Mockery,50.65,2554-2488,5042,175
Pterafractyl,50.64,2871-2798,5669,186
Seize The Spoils,50.63,2411-2351,4762,169
Titan'S Grave,50.63,2348-2290,4638,179
Planar Engineering,50.61,374-365,739,43
Fields Of Strife,50.59,2096-2047,4143,159
