Card Name,Post-Acquisition Winrate,Post-Acquisition Record,Total Post-Acquisition Matches,Pools Opened In
"Alquist Proft, Master Sleuth",76.19,16-5,21,2
Lamplight Phoenix,75.51,37-12,49,4
Ornery Tumblewagg,74.19,23-8,31,2
Bounding Felidar,73.33,22-8,30,4
The Cloning of Shredder,73.08,19-7,26,2
Dust Bowl,71.43,20-8,28,2
Day of Black Sun,70.83,17-7,24,2
Show and Tell,70.59,12-5,17,1
Warleader's Call,70.0,35-15,50,4
Void Rend,70.0,14-6,20,1
Ravenous Tyrannosaurus,70.0,14-6,20,1
Concealed Courtyard,69.05,29-13,42,2
Avatar Destiny,68.75,22-10,32,2
Hostile Investigator,68.75,11-5,16,1
Earthbender Ascension,68.42,13-6,19,1
Omenpath Journey,68.18,15-7,22,2
Stoneforge Mystic,68.18,15-7,22,1
Shoot the Sheriff,68.18,15-7,22,1
"Storm, Force of Nature",68.0,17-8,25,1
"Wan Shi Tong, Librarian",67.74,21-10,31,2
Lightning Helix,67.57,25-12,37,3
Assassin's Trophy,67.31,35-17,52,4
Arid Archway,67.12,49-24,73,5
Wartime Protestors,66.67,10-5,15,2
Ravenous Robots,66.67,30-15,45,2
Deadly Dispute,66.67,12-6,18,1
Fae Flight,66.67,28-14,42,3
Michelangelo's Technique,65.79,25-13,38,3
"Michelangelo, Improviser",65.79,25-13,38,2
"Loot, the Key to Everything",65.52,19-10,29,2
"Legolas, Master Archer",65.52,38-20,58,4
"Frodo, Sauron's Bane",65.22,15-8,23,2
Binding Negotiation,65.0,26-14,40,5
Beifong's Bounty Hunters,65.0,13-7,20,1
Deadly Cover-Up,64.86,24-13,37,2
"Taii Wakeen, Perfect Shot",64.86,24-13,37,2
Cornered Crook,64.81,35-19,54,7
Jet's Brainwashing,64.58,31-17,48,5
Case of the Locked Hothouse,64.29,45-25,70,4
Imp's Mischief,64.0,16-9,25,4
"Eriette, the Beguiler",64.0,16-9,25,2
Case of the Gateway Express,63.93,39-22,61,5
Raucous Entertainer,63.87,76-43,119,11
Pompous Gadabout,63.64,28-16,44,2
Redirect Lightning,63.64,14-8,22,1
Avatar's Wrath,63.33,19-11,30,2
"Shark Shredder, Killer Clone",62.96,34-20,54,5
"Raphael, the Nightwatcher",62.5,25-15,40,3
Turtle Blimp,62.5,10-6,16,2
Dream Beavers,62.5,50-30,80,6
Force of Vigor,62.5,10-6,16,1
"Agent Bishop, Man in Black",62.5,10-6,16,2
Crime // Punishment,62.5,20-12,32,2
Primal Might,62.5,20-12,32,2
Incinerator of the Guilty,62.5,10-6,16,2
Tinybones Joins Up,62.32,43-26,69,5
Collective Defiance,62.07,18-11,29,2
Nezumi Linkbreaker,61.96,101-62,163,11
"Black Panther, Wakandan King",61.9,13-8,21,1
Deepmuck Desperado,61.76,21-13,34,3
It Doesn't Add Up,61.54,16-10,26,3
Prosperity Tycoon,61.29,38-24,62,6
Fling,61.25,49-31,80,6
Deadly Complication,61.22,30-19,49,4
Feed the Swarm,61.11,11-7,18,1
Outlaws' Merriment,61.11,11-7,18,2
Donatello's Technique,60.95,64-41,105,9
Ninja Teen,60.87,28-18,46,4
Mistway Spy,60.78,31-20,51,5
Celeborn the Wise,60.76,48-31,79,4
"Electro, Assaulting Battery",60.61,20-13,33,3
Demonic Ruckus,60.49,49-32,81,5
"Ghired, Mirror of the Wilds",60.47,26-17,43,2
Miles Morales // Ultimate Spider-Man,60.42,29-19,48,3
Caught in the Crossfire,60.29,82-54,136,8
Throw from the Saddle,60.26,141-93,234,16
"Éomer, Marshal of Rohan",60.26,47-31,78,4
Turtle Lair,60.22,56-37,93,8
Goldvein Hydra,60.0,27-18,45,3
Fractured Identity,60.0,21-14,35,2
Doubling Season,60.0,12-8,20,1
Reenact the Crime,60.0,18-12,30,3
Primal Command,60.0,18-12,30,2
Eroded Canyon,59.77,52-35,87,6
Shackle Slinger,59.74,46-31,77,7
Steely Resolve,59.68,37-25,62,3
Outcaster Trailblazer,59.26,32-22,54,5
Realm of Koh,59.26,16-11,27,3
Nightdrinker Moroii,59.15,42-29,71,5
"Jet, Freedom Fighter",59.14,55-38,93,6
Connecting the Dots,59.09,13-9,22,2
Clever Impersonator,59.09,13-9,22,1
Skewer the Critics,58.97,46-32,78,4
Great Train Heist,58.82,30-21,51,4
Bristling Backwoods,58.76,104-73,177,11
The Bath Song,58.73,37-26,63,6
Death in the Family,58.65,61-43,104,8
Aven Interrupter,58.62,17-12,29,2
Zoo Escapees,58.58,99-70,169,17
Boneyard Desecrator,58.56,65-46,111,8
Kraul Whipcracker,58.54,24-17,41,2
"Leonardo, Cutting Edge",58.54,24-17,41,3
"Bill Ferny, Bree Swindler",58.54,24-17,41,3
Scorching Shot,58.43,52-37,89,7
Gila Courser,58.33,28-20,48,4
Bucolic Ranch,58.33,35-25,60,4
"Don & Raph, Hard Science",58.33,35-25,60,5
Doorkeeper Thrull,58.33,14-10,24,3
Monologue Tax (PLST) C21-19,58.33,14-10,24,1
Karlov Watchdog,58.18,32-23,55,5
Planetarium of Wan Shi Tong,57.89,11-8,19,2
"Kellan, Inquisitive Prodigy // Tail the Suspect",57.89,11-8,19,1
Generous Plunderer,57.89,11-8,19,1
Desert's Due,57.87,136-99,235,17
The Cave of Two Lovers,57.84,59-43,102,8
Illicit Masquerade,57.69,15-11,26,2
Mana Drain,57.69,15-11,26,2
"Lita, Little Orphan Amphibian",57.65,49-36,85,9
Break Out,57.63,34-25,59,5
Plan the Heist,57.5,23-17,40,4
Karai's Technique,57.45,27-20,47,4
Betrayal at the Vault,57.36,74-55,129,8
Holy Cow,57.14,128-96,224,18
Case of the Stashed Skeleton,57.14,20-15,35,4
Tyrant's Scorn,57.14,24-18,42,3
The Last Ronin,57.14,12-9,21,2
Spinewoods Armadillo,56.94,41-31,72,7
"Haru, Hidden Talent",56.9,33-25,58,7
"Kambal, Profiteering Mayor",56.86,29-22,51,4
Invasion Reinforcements,56.82,50-38,88,5
Hindering Light,56.72,38-29,67,5
Shepherd of the Clouds,56.67,34-26,60,5
Thoughtseize,56.67,17-13,30,2
Curious Inquiry,56.63,47-36,83,6
"Kylox, Visionary Inventor",56.6,30-23,53,3
Shredder's Armor,56.57,56-43,99,9
Phantom Interference,56.52,130-100,230,17
Turncoat Kunoichi,56.52,26-20,46,3
"Vraska, the Silencer",56.41,22-17,39,2
Team Avatar,56.34,40-31,71,6
Frontier Seeker,56.3,76-59,135,11
Spectacular Spider-Man,56.25,18-14,32,3
Step Between Worlds,56.25,45-35,80,7
Omenport Vigilante,56.25,18-14,32,2
Uglúk of the White Hand,56.25,9-7,16,1
Slickshot Vault-Buster,56.11,101-79,180,17
Archmage's Newt,56.0,14-11,25,3
Harbinger of the Seas,56.0,14-11,25,1
"Rakdos, Patron of Chaos",56.0,14-11,25,2
Due Diligence,55.97,75-59,134,10
Congregation Gryff,55.95,47-37,84,6
Rooftop Assassin,55.9,90-71,161,16
Doctor Doom,55.84,86-68,154,9
Prairie Dog,55.7,44-35,79,6
"Krenko, Baron of Tin Street",55.56,10-8,18,2
Daring Thunder-Thief,55.56,80-64,144,12
Gríma Wormtongue,55.56,25-20,45,3
Detention Sphere,55.56,10-8,18,1
Storm of Saruman,55.56,10-8,18,2
Crime Novelist,55.56,30-24,54,3
"Anti-Venom, Horrifying Healer",55.56,15-12,27,3
Polygraph Orb,55.43,51-41,92,8
Ooze Spill,55.41,41-33,74,6
Foot Mystic,55.34,57-46,103,13
Intrepid Stablemaster,55.22,74-60,134,8
Shadow of the Goblin,55.17,16-13,29,3
Fuss // Bother,55.15,75-61,136,9
"Ertha Jo, Frontier Mentor",55.13,43-35,78,5
Omni-Cheese Pizza,55.02,115-94,209,16
Gandalf the Grey,55.0,11-9,20,2
"Andúril, Flame of the West (LTR) 746z",55.0,22-18,40,2
Private Eye,55.0,33-27,60,5
Frantic Scapegoat,54.95,61-50,111,8
Allies at Last,54.93,78-64,142,11
Everything Pizza,54.9,28-23,51,4
Glint Weaver,54.9,28-23,51,4
"Raph & Mikey, Troublemakers",54.9,28-23,51,4
"Oko, the Ringleader",54.84,17-14,31,2
Anchovy & Banana Pizza,54.76,69-57,126,13
Twin Blades,54.76,46-38,84,6
"Toph, the First Metalbender",54.76,23-19,42,2
"Bruse Tarl, Roving Rancher",54.72,29-24,53,4
Courier of Comestibles,54.65,47-39,86,8
"Théoden, King of Rohan",54.55,42-35,77,5
Coerced to Kill,54.55,36-30,66,4
Wispdrinker Vampire,54.55,24-20,44,4
Grand Abolisher,54.55,12-10,22,1
"Carnage, Crimson Chaos",54.55,18-15,33,2
Bedevil,54.55,18-15,33,2
The Last Agni Kai,54.55,12-10,22,1
Sewer-veillance Cam,54.46,122-102,224,22
"Spider-Gwen, Free Spirit",54.43,86-72,158,12
Innocent Bystander,54.42,80-67,147,13
Hellspur Brute,54.41,37-31,68,6
Grounded for Life,54.39,124-104,228,19
Vanishing Verse,54.35,25-21,46,3
Entish Restoration,54.35,50-42,92,8
Ominous Asylum,54.31,63-53,116,10
Terrific Team-Up,54.29,38-32,70,5
Prehistoric Pet,54.29,19-16,35,3
Jasmine Dragon Tea Shop,54.29,19-16,35,4
Gorbag of Minas Morgul,54.29,19-16,35,3
"Green Goblin, Revenant",54.26,51-43,94,7
"Magda, the Hoardmaster",54.17,13-11,24,3
"Aang, at the Crossroads // Aang, Destined Savior",54.17,13-11,24,1
Shadow of the Enemy,54.17,13-11,24,2
"Fblthp, Lost on the Range",54.1,33-28,61,5
Conduit Pylons,54.07,93-79,172,12
Lost to Legend,54.05,40-34,74,5
High Noon,54.05,20-17,37,3
"Yue, the Moon Spirit",54.05,20-17,37,3
Case of the Crimson Pulse,53.85,21-18,39,3
Trash the Town,53.85,42-36,78,7
"Savanti Romero, Time's Exile",53.85,49-42,91,8
Pest Infestation,53.85,28-24,52,3
"Rocksteady, Crash Courser",53.78,128-110,238,20
The Walls of Ba Sing Se,53.7,29-25,54,3
"Wolverine, Fierce Fighter",53.69,182-157,339,20
Cerebral Confiscation,53.69,80-69,149,11
Reach for the Sky,53.68,102-88,190,16
Galvanize,53.68,102-88,190,14
Bill the Pony,53.66,44-38,82,6
Sharp-Eyed Rookie,53.62,37-32,69,6
Deadeye Duelist,53.61,104-90,194,14
Rivendell,53.57,15-13,28,2
Heartless Pillage,53.42,39-34,73,8
Inventive Wingsmith,53.4,102-89,191,15
"The Sentry, Golden Guardian",53.33,160-140,300,18
Griffnaut Tracker,53.33,120-105,225,16
Unlicensed Hearse,53.33,8-7,15,2
Parker Luck,53.33,16-14,30,2
Dance of the Tumbleweeds,53.29,81-71,152,11
Putrid Pals,53.26,49-43,92,8
Vindictive Warden,53.25,131-115,246,17
Turtle Van,53.25,41-36,77,6
Marauding Sphinx,53.23,33-29,62,6
Journey to Nowhere,53.19,25-22,47,3
Deduce,53.15,76-67,143,13
Scientist Supreme of A.I.M.,53.14,296-261,557,32
"The Mechanist, Aerial Artisan",53.12,17-15,32,4
"Monica Rambeau // Photon, Living Light",53.11,171-151,322,18
Slice from the Shadows,53.1,77-68,145,11
Spring Splasher,53.1,60-53,113,10
Goblin Maskmaker,53.08,69-61,130,13
Tainted Treats,53.06,78-69,147,11
Go Ninja Go,53.06,52-46,98,9
Flourishing Bloom-Kin,53.03,35-31,66,6
Crescent Island Temple,52.99,62-55,117,11
"Hydro-Man, Fluid Felon",52.94,9-8,17,2
Thinking Cap,52.94,90-80,170,10
Harried Dronesmith,52.94,27-24,51,4
"Sting, the Glinting Dagger",52.94,27-24,51,4
On the Job,52.91,91-81,172,12
Paramecia Coloniex,52.86,37-33,70,6
Badgermole,52.85,102-91,193,15
"Mole Man, Moloid Master",52.83,196-175,371,24
Bolrac-Clan Basher,52.78,19-17,36,4
The Unbeatable Squirrel Girl,52.77,200-179,379,23
"Arachne, Psionic Weaver",52.63,20-18,38,2
Sudden Setback,52.63,20-18,38,2
Tin Street Gossip,52.58,51-46,97,9
S.H.I.E.L.D. Flying Car,52.56,185-167,352,22
"Aang, the Last Airbender",52.5,42-38,80,7
Repeat Offender,52.48,74-67,141,16
Rubblebelt Maverick,52.48,74-67,141,14
"Selvala, Eager Trailblazer",52.46,32-29,61,4
"Leonardo, Leader in Blue",52.46,32-29,61,7
The Super Hero Civil War,52.45,150-136,286,18
Patient Naturalist,52.41,76-69,145,12
Mechanized Production,52.38,11-10,21,1
"Lazav, Wearer of Faces",52.38,11-10,21,2
Boom Box,52.33,45-41,86,7
Greenbelt Radical,52.29,57-52,109,9
Oasis Gardener,52.29,80-73,153,16
Offender at Large,52.27,115-105,220,17
"Miriam, Herd Whisperer",52.27,46-42,88,5
Absorbing Man,52.2,154-141,295,20
"Roxanne, Starfall Savant",52.17,12-11,23,3
Chaos Warp,52.17,36-33,69,3
Lumbering Laundry,52.17,12-11,23,2
"Mikey & Don, Party Planners",52.17,12-11,23,2
"General Traag, Heart of Stone",52.13,49-45,94,7
Earth's Mightiest Heroes,52.05,89-82,171,10
"Toph, the Blind Bandit",52.05,38-35,73,7
"Stockman, Mad Fly-entist",52.02,90-83,173,16
Fanatical Strength,52.0,26-24,50,4
How to Start a Riot,51.97,66-61,127,12
Slick Sequence,51.92,27-25,52,5
Seraphic Steed,51.92,27-25,52,3
"Madame Web, Clairvoyant",51.89,55-51,106,8
"Ozai, the Phoenix King",51.85,14-13,27,2
United Front,51.85,28-26,54,4
High-Flying Ace,51.84,127-118,245,21
Dramatic Accusation,51.83,99-92,191,17
Water Tribe Captain,51.82,114-106,220,18
EPF Point Squad,51.75,74-69,143,14
Agency Outfitter,51.72,30-28,58,3
Avengers Disassembled,51.65,204-191,395,25
Treasure Dredger,51.65,47-44,91,8
Aunt May,51.61,32-30,62,4
"Goldberry, River-Daughter",51.61,32-30,62,4
Overzealous Muscle,51.61,112-105,217,14
Stoic Sphinx,51.61,32-30,62,3
Mourner's Surprise,51.59,65-61,126,10
Forum Familiar,51.56,33-31,64,5
Seasoned Consultant,51.55,50-47,97,9
Hotshot Investigators,51.52,85-80,165,13
Surveillance Monitor,51.52,34-32,66,7
Forsaken Miner,51.52,34-32,66,5
Magebane Lizard,51.52,17-16,33,3
Armored Armadillo,51.49,104-98,202,17
"Mai, Scornful Striker",51.47,35-33,68,5
Emergent Haunting,51.46,53-50,103,7
"Wolverine, Best There Is",51.43,18-17,35,2
Wanted Griffin,51.43,108-102,210,17
"Slash, Reptile Rampager",51.43,18-17,35,3
Festering Gulch,51.43,72-68,140,12
Tundra Tank,51.43,18-17,35,4
